Time resolution is 1 ps
in between  a  and  b    A_lessThan_B  A_greaterThan_B  A_equalTo_B 
            x       x    x            x                x 
            4       1    0            1                0 
            9       3    0            1                0 
           13      13    0            0                1 
            5       2    0            1                0 
            1      13    1            0                0 
            6      13    1            0                0 
           13      12    0            1                0 
            9       6    0            1                0 
            5      10    1            0                0 
$finish called at time : 100 ns : File "/home/itzzinfinity/Cozy Drive/100daysofRTL/day_015/project_1/project_1.srcs/sim_1/new/min_max_tb.v" Line 22
