Time resolution is 1 ps
Time = 0 | clk = 0 | reset = 1 | clk_out = 0
Time = 10000 | clk = 1 | reset = 1 | clk_out = 0
Time = 20000 | clk = 0 | reset = 1 | clk_out = 0
Time = 25000 | clk = 0 | reset = 0 | clk_out = 0
Time = 30000 | clk = 1 | reset = 0 | clk_out = 0
Time = 40000 | clk = 0 | reset = 0 | clk_out = 0
Time = 50000 | clk = 1 | reset = 0 | clk_out = 1
Time = 60000 | clk = 0 | reset = 0 | clk_out = 1
Time = 70000 | clk = 1 | reset = 0 | clk_out = 1
Time = 80000 | clk = 0 | reset = 0 | clk_out = 1
Time = 90000 | clk = 1 | reset = 0 | clk_out = 0
Time = 100000 | clk = 0 | reset = 0 | clk_out = 0
Time = 110000 | clk = 1 | reset = 0 | clk_out = 0
Time = 120000 | clk = 0 | reset = 0 | clk_out = 0
Time = 130000 | clk = 1 | reset = 0 | clk_out = 1
Time = 140000 | clk = 0 | reset = 0 | clk_out = 1
Time = 150000 | clk = 1 | reset = 0 | clk_out = 1
Time = 160000 | clk = 0 | reset = 0 | clk_out = 1
Time = 170000 | clk = 1 | reset = 0 | clk_out = 0
Time = 180000 | clk = 0 | reset = 0 | clk_out = 0
Time = 190000 | clk = 1 | reset = 0 | clk_out = 0
Time = 200000 | clk = 0 | reset = 0 | clk_out = 0
Time = 210000 | clk = 1 | reset = 0 | clk_out = 1
Time = 220000 | clk = 0 | reset = 0 | clk_out = 1
Time = 230000 | clk = 1 | reset = 0 | clk_out = 1
Time = 240000 | clk = 0 | reset = 0 | clk_out = 1
Time = 250000 | clk = 1 | reset = 0 | clk_out = 0
Time = 260000 | clk = 0 | reset = 0 | clk_out = 0
Time = 270000 | clk = 1 | reset = 0 | clk_out = 0
Time = 280000 | clk = 0 | reset = 0 | clk_out = 0
Time = 290000 | clk = 1 | reset = 0 | clk_out = 1
Time = 300000 | clk = 0 | reset = 0 | clk_out = 1
Time = 310000 | clk = 1 | reset = 0 | clk_out = 1
Time = 320000 | clk = 0 | reset = 0 | clk_out = 1
Time = 330000 | clk = 1 | reset = 0 | clk_out = 0
Time = 340000 | clk = 0 | reset = 0 | clk_out = 0
Time = 350000 | clk = 1 | reset = 0 | clk_out = 0
Time = 360000 | clk = 0 | reset = 0 | clk_out = 0
Time = 370000 | clk = 1 | reset = 0 | clk_out = 1
Time = 380000 | clk = 0 | reset = 0 | clk_out = 1
Time = 390000 | clk = 1 | reset = 0 | clk_out = 1
Time = 400000 | clk = 0 | reset = 0 | clk_out = 1
Time = 410000 | clk = 1 | reset = 0 | clk_out = 0
Time = 420000 | clk = 0 | reset = 0 | clk_out = 0
Time = 430000 | clk = 1 | reset = 0 | clk_out = 0
Time = 440000 | clk = 0 | reset = 0 | clk_out = 0
Time = 450000 | clk = 1 | reset = 0 | clk_out = 1
Time = 460000 | clk = 0 | reset = 0 | clk_out = 1
Time = 470000 | clk = 1 | reset = 0 | clk_out = 1
Time = 480000 | clk = 0 | reset = 0 | clk_out = 1
Time = 490000 | clk = 1 | reset = 0 | clk_out = 0
Time = 500000 | clk = 0 | reset = 0 | clk_out = 0
Time = 510000 | clk = 1 | reset = 0 | clk_out = 0
Time = 520000 | clk = 0 | reset = 0 | clk_out = 0
Time = 530000 | clk = 1 | reset = 0 | clk_out = 1
Time = 540000 | clk = 0 | reset = 0 | clk_out = 1
Time = 550000 | clk = 1 | reset = 1 | clk_out = 0
Time = 560000 | clk = 0 | reset = 1 | clk_out = 0
Time = 570000 | clk = 1 | reset = 1 | clk_out = 0
Time = 575000 | clk = 1 | reset = 0 | clk_out = 0
Time = 580000 | clk = 0 | reset = 0 | clk_out = 0
Time = 590000 | clk = 1 | reset = 0 | clk_out = 0
Time = 600000 | clk = 0 | reset = 0 | clk_out = 0
Time = 610000 | clk = 1 | reset = 0 | clk_out = 1
Time = 620000 | clk = 0 | reset = 0 | clk_out = 1
Time = 630000 | clk = 1 | reset = 0 | clk_out = 1
Time = 640000 | clk = 0 | reset = 0 | clk_out = 1
Time = 650000 | clk = 1 | reset = 0 | clk_out = 0
Time = 660000 | clk = 0 | reset = 0 | clk_out = 0
Time = 670000 | clk = 1 | reset = 0 | clk_out = 0
Time = 680000 | clk = 0 | reset = 0 | clk_out = 0
Time = 690000 | clk = 1 | reset = 0 | clk_out = 1
Time = 700000 | clk = 0 | reset = 0 | clk_out = 1
Time = 710000 | clk = 1 | reset = 0 | clk_out = 1
Time = 720000 | clk = 0 | reset = 0 | clk_out = 1
Time = 730000 | clk = 1 | reset = 0 | clk_out = 0
Time = 740000 | clk = 0 | reset = 0 | clk_out = 0
Time = 750000 | clk = 1 | reset = 0 | clk_out = 0
Time = 760000 | clk = 0 | reset = 0 | clk_out = 0
Time = 770000 | clk = 1 | reset = 0 | clk_out = 1
Time = 780000 | clk = 0 | reset = 0 | clk_out = 1
Time = 790000 | clk = 1 | reset = 0 | clk_out = 1
Time = 800000 | clk = 0 | reset = 0 | clk_out = 1
Time = 810000 | clk = 1 | reset = 0 | clk_out = 0
Time = 820000 | clk = 0 | reset = 0 | clk_out = 0
Time = 830000 | clk = 1 | reset = 0 | clk_out = 0
Time = 840000 | clk = 0 | reset = 0 | clk_out = 0
Time = 850000 | clk = 1 | reset = 0 | clk_out = 1
Time = 860000 | clk = 0 | reset = 0 | clk_out = 1
Time = 870000 | clk = 1 | reset = 0 | clk_out = 1
Time = 880000 | clk = 0 | reset = 0 | clk_out = 1
Time = 890000 | clk = 1 | reset = 0 | clk_out = 0
Time = 900000 | clk = 0 | reset = 0 | clk_out = 0
Time = 910000 | clk = 1 | reset = 0 | clk_out = 0
Time = 920000 | clk = 0 | reset = 0 | clk_out = 0
Time = 930000 | clk = 1 | reset = 0 | clk_out = 1
Time = 940000 | clk = 0 | reset = 0 | clk_out = 1
Time = 950000 | clk = 1 | reset = 0 | clk_out = 1
Time = 960000 | clk = 0 | reset = 0 | clk_out = 1
Time = 970000 | clk = 1 | reset = 0 | clk_out = 0
Time = 980000 | clk = 0 | reset = 0 | clk_out = 0
Time = 990000 | clk = 1 | reset = 0 | clk_out = 0
Time = 1000000 | clk = 0 | reset = 0 | clk_out = 0
